"StockName","TotalScore","AverageStability","AverageGrowth","DailyStability","WeeklyStability","Growth15Session","Growth30Session","Growth100Session","Growth200Session"
"EASTSILK.NS","157.3913043478261","214.7826086956522","100.0","86.95652173913044","300.0","100.0","0.0","0.0","0.0"
"PAEL.NS","144.66666666666669","189.33333333333334","100.0","73.33333333333334","266.6666666666667","100.0","100.0","0.0","0.0"
"MAKE.NS","137.72727272727272","100.45454545454545","175.0","63.63636363636364","125.0","150.0","200.0","0.0","0.0"
"RELGRNIFT.NS","137.5","175.0","100.0","87.5","233.33333333333334","100.0","0.0","0.0","0.0"
"JBMA.NS","131.79973469303155","139.35704514363886","124.24242424242425","61.62790697674419","191.1764705882353","72.72727272727273","100.0","200.0","0.0"
"CALSOFT.NS","131.33333333333334","162.66666666666669","100.0","106.66666666666667","200.0","100.0","0.0","0.0","0.0"
"QUINTEGRA.NS","129.22222222222223","158.44444444444443","100.0","121.11111111111111","183.33333333333331","66.66666666666667","133.33333333333334","0.0","0.0"
"PTL.NS","126.0","152.0","100.0","80.0","200.0","100.0","0.0","0.0","0.0"
"KBIL.NS","123.57798165137615","118.58453473132373","128.57142857142858","67.88990825688074","152.38095238095238","85.71428571428572","100.0","200.0","0.0"
"AUSOMENT.NS","122.34756097560975","144.6951219512195","100.0","80.48780487804878","187.5","100.0","100.0","0.0","0.0"
"RMCL.NS","121.58424908424908","126.5018315018315","116.66666666666667","62.087912087912095","169.44444444444443","66.66666666666667","83.33333333333334","200.0","0.0"
"ALPHAGEO.NS","121.1507827858919","112.49387326409149","129.80769230769232","61.72248803827751","146.34146341463415","69.23076923076923","100.0","150.0","200.0"
"TVSSRICHA.NS","116.41666666666667","145.33333333333334","87.5","63.333333333333336","200.0","75.0","100.0","0.0","0.0"
"TANFACIND.NS","112.36842105263159","124.73684210526318","100.0","61.8421052631579","166.66666666666669","100.0","100.0","0.0","0.0"
"OSWALMIN.NS","112.07407407407408","124.14814814814815","100.0","70.37037037037037","160.0","100.0","0.0","0.0","0.0"
